frame,time_s,detected,mean_visibility,num_visible,nose_visibility,nose_x,nose_y,nose_z,left_shoulder_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_visibility,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_visibility,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_visibility,left_hip_x,left_hip_y,left_hip_z,right_hip_visibility,right_hip_x,right_hip_y,right_hip_z,left_knee_visibility,left_knee_x,left_knee_y,left_knee_z,right_knee_visibility,right_knee_x,right_knee_y,right_knee_z,left_ankle_visibility,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z
0,0.0,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
1,0.03333333333333333,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
2,0.06666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
3,0.1,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
4,0.13333333333333333,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
5,0.16666666666666666,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
6,0.2,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
7,0.23333333333333334,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
8,0.26666666666666666,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
9,0.3,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
10,0.3333333333333333,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
11,0.36666666666666664,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
12,0.4,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
13,0.43333333333333335,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
14,0.4666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
15,0.5,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
16,0.5333333333333333,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
17,0.5666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
18,0.6,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
19,0.6333333333333333,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
20,0.6666666666666666,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
21,0.7,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
22,0.7333333333333333,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
23,0.7666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
24,0.8,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
25,0.8333333333333334,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
26,0.8666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
27,0.9,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
28,0.9333333333333333,1,0.5744971667344754,9,0.9935185313224792,0.5541172027587891,0.6426076292991638,-1.0755436420440674,0.9600062966346741,0.5734336972236633,0.48086845874786377,-0.6442144513130188,0.9902825355529785,0.7040685415267944,0.9065147638320923,-0.6963198781013489,0.5137666463851929,0.6008246541023254,0.2803758978843689,-0.5611839890480042,0.6391698122024536,0.8534935712814331,0.8815117478370667,-0.6443813443183899,0.50351881980896,0.5551397204399109,0.2783242464065552,-0.6292465329170227,0.5553432703018188,0.9111005663871765,0.784975528717041,-0.6949741840362549,0.7693815231323242,0.8992637395858765,0.3562120199203491,0.029229337349534035,0.8713449835777283,0.9707392454147339,0.5454227328300476,-0.029224758967757225,0.1163010522723198,,,,0.24708840250968933,,,,0.06318946927785873,,,,0.24555182456970215,,,
29,0.9666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
30,1.0,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
31,1.0333333333333334,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
32,1.0666666666666667,0,0.0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
33,1.1,1,0.5294718089011999,7,0.9945715665817261,0.5460199534893035,0.675360369682312,-1.2044135928153992,0.9607909321784973,0.6163155674934386,0.6207211077213287,-0.651333713531494,0.9883624315261841,0.5890738457441329,0.9243514895439147,-0.7060377895832062,0.47525936365127563,,,,0.5885600447654724,0.6543501064181327,1.0270969927310944,-0.8000917136669159,0.4604818522930145,,,,0.5331196188926697,0.710871535539627,0.8983416676521301,-1.0193225622177124,0.6235969066619873,0.8365477204322814,0.8463818907737731,0.03098256383091211,0.706251323223114,0.7973724752664565,0.986480551958084,-0.027864132449030875,0.09644614905118942,,,,0.20259542763233185,,,,0.052824728190898895,,,,0.20027317106723785,,,
34,1.1333333333333333,1,0.5294718089011999,7,0.9945715665817261,0.5403518790006637,0.6982872879505156,-1.2946225583553312,0.9607909321784973,0.6463328766822813,0.7186179620027542,-0.6563171970844268,0.9883624315261841,0.5085775586962699,0.9368371975421903,-0.7128403276205062,0.47525936365127563,,,,0.5885600447654724,0.5149496810138225,1.1290066641569139,-0.909088972210884,0.4604818522930145,,,,0.5331196188926697,0.5707112139463424,0.9776979649066924,-1.2463664269447325,0.6235969066619873,0.7926465070247649,1.18950080037117,0.03220982236787677,0.706251323223114,0.6760157361626624,1.2952210253477094,-0.02691169388592243,0.09644614905118942,,,,0.20259542763233185,,,,0.052824728190898895,,,,0.20027317106723785,,,
